analysis_family,universe,factor,group,horizon,metric,sample_count,date_count,mean,median,std,positive_pct,bootstrap_ci_low,bootstrap_ci_high,ic_ir,notes
rank_ic,A_technical_eligible,V1_chip_bonus,all,3,daily_rank_ic,10,10,-0.045411538817437244,-0.032987255027672094,0.241246885118418,30.0,-0.1890882679082468,0.09288594621172297,-0.18823678819789372,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,V1_chip_bonus,all,5,daily_rank_ic,8,8,-0.0009259120536170718,-0.03719133206557318,0.2013741085736314,37.5,-0.13398707831560747,0.1268168226276622,-0.004597969720017491,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,V1_chip_bonus,all,10,daily_rank_ic,3,3,0.06165826039127187,0.06927075081082631,0.15678648660810296,66.66666666666666,-0.09879580598152692,0.21449983634451622,0.39326259376798406,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,V1_chip_bonus,all,20,daily_rank_ic,0,0,,,,,,,,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,V21_capital_flow,all,3,daily_rank_ic,10,10,-0.02658308681546495,-0.08755210306934445,0.26878811853507734,30.0,-0.17322384796832507,0.12519085555674822,-0.0988997838161355,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,V21_capital_flow,all,5,daily_rank_ic,8,8,-0.0388136662303776,-0.09664224664224665,0.2620758110301867,37.5,-0.2023104573415261,0.12668273588257498,-0.14810091048771734,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,V21_capital_flow,all,10,daily_rank_ic,3,3,0.10812235382052553,0.13008009874990434,0.153457834779333,66.66666666666666,-0.055131599118197226,0.24941856182986943,0.7045736959341417,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,V21_capital_flow,all,20,daily_rank_ic,0,0,,,,,,,,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,RS20_percentile,all,3,daily_rank_ic,10,10,-0.04548986110713139,-0.01517651979423322,0.12747648361891625,50.0,-0.12549362783548282,0.022143951004324678,-0.3568490423937387,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,RS20_percentile,all,5,daily_rank_ic,8,8,-0.0026331928887905927,-0.05033782743436339,0.22611933579180793,37.5,-0.14448195017417706,0.15053622262848457,-0.011645146929031402,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,RS20_percentile,all,10,daily_rank_ic,3,3,-0.006075472574200154,-0.0179427235534775,0.09415097937058328,33.33333333333333,-0.0937302180613347,0.09344652389221174,-0.06452904276530963,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,RS20_percentile,all,20,daily_rank_ic,0,0,,,,,,,,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,foreign_signed_strength,all,3,daily_rank_ic,10,10,-0.12549864745176748,-0.15810068349767303,0.2283414768273974,30.0,-0.24986229307839036,0.005241743125298909,-0.5496095111385809,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,foreign_signed_strength,all,5,daily_rank_ic,8,8,-0.1300533804119586,-0.18746819273198817,0.2936376627788383,37.5,-0.31741196103687425,0.056091650532323185,-0.44290428952879957,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,foreign_signed_strength,all,10,daily_rank_ic,3,3,0.09077930211960021,0.12443259662718127,0.14095765140409433,66.66666666666666,-0.06395909704804169,0.21186440677966104,0.6440182651692747,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,foreign_signed_strength,all,20,daily_rank_ic,0,0,,,,,,,,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,trust_signed_strength_active_only,all,3,daily_rank_ic,10,10,-0.025059997951484475,-0.016400804442717732,0.2644062670318265,50.0,-0.19266141275691764,0.11710801585494951,-0.09477838113598121,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,trust_signed_strength_active_only,all,5,daily_rank_ic,8,8,-0.030930230070101115,0.006295135070878772,0.29353897480413993,50.0,-0.25087249536456624,0.12920981419823743,-0.10537009639261331,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,trust_signed_strength_active_only,all,10,daily_rank_ic,3,3,-0.05546186122481972,-0.021763602251407135,0.10211129295284542,33.33333333333333,-0.17016310696417755,0.025541125541125545,-0.5431511013226694,Daily cross-sectional Spearman against future excess return.
rank_ic,A_technical_eligible,trust_signed_strength_active_only,all,20,daily_rank_ic,0,0,,,,,,,,Daily cross-sectional Spearman against future excess return.
rank_ic,B_buy_high,V1_chip_bonus,all,3,daily_rank_ic,10,10,0.031230104096382598,0.10255160270060622,0.35712903218149833,60.0,-0.1914708511388534,0.23027341119517775,0.08744767655996948,Daily cross-sectional Spearman against future excess return.
rank_ic,B_buy_high,V1_chip_bonus,all,5,daily_rank_ic,8,8,0.19857631057766614,0.21826650246558543,0.3253018810158404,75.0,-0.011723046227549884,0.42316251412871125,0.6104370191698848,Daily cross-sectional Spearman against future excess return.
rank_ic,B_buy_high,V1_chip_bonus,all,10,daily_rank_ic,3,3,0.22257460487200964,0.25242971016443316,0.08894882725169477,100.0,0.12253889524049143,0.2927552092111043,2.5022770029581123,Daily cross-sectional Spearman against future excess return.
rank_ic,B_buy_high,V1_chip_bonus,all,20,daily_rank_ic,0,0,,,,,,,,Daily cross-sectional Spearman against future excess return.
rank_ic,B_buy_high,V21_capital_flow,all,3,daily_rank_ic,10,10,0.12627483765399022,0.13690476190476192,0.3671928138210377,70.0,-0.09691422132174228,0.32377693632390114,0.3438924535040983,Daily cross-sectional Spearman against future excess return.
rank_ic,B_buy_high,V21_capital_flow,all,5,daily_rank_ic,8,8,0.22332427345760372,0.19603432325493467,0.3313060059509213,87.5,-0.01472636531146228,0.43134211273203577,0.6740725173895167,Daily cross-sectional Spearman against future excess return.
rank_ic,B_buy_high,V21_capital_flow,all,10,daily_rank_ic,3,3,0.32827204615194905,0.42260569821229227,0.2408382379412556,100.0,0.05454633501380507,0.5076641052297498,1.3630395611514978,Daily cross-sectional Spearman against future excess return.
rank_ic,B_buy_high,V21_capital_flow,all,20,daily_rank_ic,0,0,,,,,,,,Daily cross-sectional Spearman against future excess return.
rank_ic,B_buy_high,RS20_percentile,all,3,daily_rank_ic,10,10,-0.07188636610428274,0.001225490196078427,0.288187814163661,50.0,-0.25164598280338085,0.09109486384303417,-0.24944276812293903,Daily cross-sectional Spearman against future excess return.
