signal_date,code,name,industry,universe_a_technical_eligible,universe_b_buy_high,final_category,grade,market_regime,base_score_raw,dist_cost20_pct,chip_bonus_v1,capital_flow_score_v21_shadow,capital_flow_score_v2_shadow,rs20,rs20_percentile,flow_price_quadrant,flow_identity_score,flow_intensity_score,flow_persistence_score,flow_momentum_score,flow_price_confirmation_score,flow_relative_score,foreign_flow_activity,trust_flow_activity,foreign_flow_active_percentile_v21,trust_flow_active_percentile_v21,foreign_signed_flow_strength,trust_signed_flow_strength,foreign_momentum_component,trust_momentum_component,foreign_flow_direction,trust_flow_direction,foreign_flow_momentum,trust_flow_momentum,institutional_history_days,flow_lookback_complete,future_data_rows_used,score_without_intensity,score_without_persistence,score_without_momentum,score_without_price_confirmation,score_without_relative_flow,entry_t1_open,fwd_1d,close_to_close_forward_1d,taiex_fwd_1d,excess_vs_taiex_1d,fwd_3d,close_to_close_forward_3d,taiex_fwd_3d,excess_vs_taiex_3d,mfe_3d,mae_3d,fwd_5d,close_to_close_forward_5d,taiex_fwd_5d,excess_vs_taiex_5d,mfe_5d,mae_5d,fwd_10d,close_to_close_forward_10d,taiex_fwd_10d,excess_vs_taiex_10d,mfe_10d,mae_10d,fwd_20d,close_to_close_forward_20d,taiex_fwd_20d,excess_vs_taiex_20d,mfe_20d,mae_20d
2026-07-23,2330,台積電,半導體業,True,True,buy_candidates,A,strong_bull,86,0.31,0,0.0,7.0,3.218187755323121,74.87,Q4,0.0,0.0,0.0,-7.0,0.0,0.0,active,active,64.38,52.12,-64.38,-52.12,-3.5,-3.5,negative,negative,stable,stable,1,False,0,0.0,0.0,0.0,0.0,0.0,2355.0,-0.2123142250530785,-2.2869022869022815,-2.48953752930382,2.2772233042507417,-3.1847133757961776,-5.197505197505192,-7.071865857008186,3.8871524812120084,0.424628450106157,-3.6093418259023347,-6.369426751592355,-8.316008316008316,-10.802223966500545,4.43279721490819,0.424628450106157,-7.430997876857748,0.424628450106157,-1.6632016632016633,-0.8324692408073209,1.257097690913478,2.972399150743099,-7.430997876857748,,,,,,
2026-07-23,3596,智易,通信網路,True,True,buy_candidates,A,strong_bull,78,0.27,5,27.37,33.23,0.753302351354268,61.65,Q2,3.5,12.5,0.5,3.5,5.0,2.37,active,inactive,23.7,,23.7,0.0,3.5,0.0,positive,zero,stable,inactive,1,False,0,14.870000000000001,26.87,23.87,22.37,25.0,186.0,-0.5376344086021501,-1.0695187165775444,-2.48953752930382,1.9519031207016702,-4.8387096774193505,-5.3475935828877,-7.071865857008186,2.2331561795888355,1.6129032258064502,-5.645161290322576,-9.408602150537638,-9.89304812834224,-10.802223966500545,1.3936218159629075,1.6129032258064502,-12.096774193548388,-1.8817204301075252,-2.4064171122994638,-0.8324692408073209,-1.0492511893002043,1.8817204301075252,-12.096774193548388,,,,,,
2026-07-23,2881,富邦金,金融保險,True,True,buy_candidates,A,strong_bull,78,0.39,5,9.75,22.86,-1.8703938501893118,50.39,Q2,3.5,0.64,0.5,0.0,5.0,0.11,active,active,1.1,15.15,1.1,-15.15,3.5,-3.5,positive,negative,stable,stable,1,False,0,9.11,9.25,9.75,4.75,9.64,127.0,0.3937007874015741,-0.7782101167315147,-2.48953752930382,2.8832383167053943,-1.1811023622047223,-2.3346303501945553,-7.071865857008186,5.890763494803464,2.3622047244094446,-2.3622047244094446,-2.3622047244094446,-3.5019455252918275,-10.802223966500545,8.4400192420911,2.3622047244094446,-5.118110236220474,-0.7874015748031482,-1.945525291828798,-0.8324692408073209,0.04506766600417267,4.330708661417315,-5.118110236220474,,,,,,
2026-07-23,2480,敦陽科,資訊服務,True,True,high_priority_watch,A,strong_bull,78,0.79,5,34.51,35.92,8.238413224123086,89.53,Q2,3.5,12.5,0.5,3.5,5.0,9.51,active,inactive,95.07,,95.07,0.0,3.5,0.0,positive,zero,stable,inactive,1,False,0,22.009999999999998,34.01,31.009999999999998,29.509999999999998,25.0,159.0,0.0,0.0,-2.48953752930382,2.48953752930382,-2.2012578616352196,-2.2012578616352196,-7.071865857008186,4.870607995372966,0.6289308176100628,-2.2012578616352196,-0.3144654088050314,-0.3144654088050314,-10.802223966500545,10.487758557695514,0.6289308176100628,-4.716981132075471,-2.2012578616352196,-2.2012578616352196,-0.8324692408073209,-1.3687886208278988,5.031446540880502,-6.6037735849056585,,,,,,
2026-07-23,1229,聯華,食品工業,True,True,high_priority_watch,A,strong_bull,75,1.31,5,44.74,50.98,3.1822886688929852,74.61,Q1,3.5,10.57,0.5,3.5,25.0,1.67,active,inactive,16.71,,16.71,0.0,3.5,0.0,positive,zero,stable,inactive,1,False,0,34.17,44.24,41.24,19.740000000000002,43.07,42.35,-1.6528925619834767,-2.0000000000000018,-2.48953752930382,0.8366449673203435,-3.423848878394342,-3.764705882352948,-7.071865857008186,3.648016978613844,0.5903187721369552,-4.250295159386075,-4.4864226682408415,-4.823529411764705,-10.802223966500545,6.315801298259704,0.5903187721369552,-4.958677685950419,-4.1322314049586755,-4.470588235294115,-0.8324692408073209,-3.2997621641513546,0.5903187721369552,-5.785123966942152,,,,,,
2026-07-23,2889,國票金,金融保險,True,True,high_priority_watch,A,strong_bull,80,1.46,0,0.0,4.5,7.272846940053257,87.17,Q4,0.0,0.0,0.0,-3.5,0.0,0.0,active,inactive,76.71,,-76.71,0.0,-3.5,0.0,negative,zero,stable,inactive,1,False,0,0.0,0.0,0.0,0.0,0.0,15.6,0.9615384615384581,0.6389776357827559,-2.48953752930382,3.4510759908422783,0.0,-0.31948881789137795,-7.071865857008186,7.071865857008186,0.9615384615384581,-0.6410256410256387,0.3205128205128194,0.0,-10.802223966500545,11.122736787013364,0.9615384615384581,-2.8846153846153855,-1.9230769230769162,-2.2364217252396124,-0.8324692408073209,-1.0906076822695954,1.2820512820512997,-2.8846153846153855,,,,,,
2026-07-23,2207,和泰車,汽車工業,True,True,high_priority_watch,A,strong_bull,80,1.65,5,24.53,36.04,5.627221907221314,82.72,Q2,3.5,12.5,0.5,0.0,5.0,3.03,active,active,30.27,18.79,30.27,-18.79,3.5,-3.5,positive,negative,stable,stable,1,False,0,12.030000000000001,24.03,24.53,19.53,21.5,485.0,1.7525773195876226,0.304878048780477,-2.48953752930382,4.242114848891443,3.092783505154628,1.6260162601626105,-7.071865857008186,10.164649362162814,4.123711340206193,0.0,13.608247422680408,11.991869918699184,-10.802223966500545,24.410471389180955,14.432989690721643,0.0,6.391752577319587,4.878048780487809,-0.8324692408073209,7.2242218181269084,18.14432989690722,0.0,,,,,,
2026-07-23,2884,玉山金,金融保險,True,True,high_priority_watch,A,strong_bull,72,1.86,6,33.02,46.78,4.447715549704467,78.8,Q1,3.5,1.6,0.5,0.0,25.0,2.42,active,active,1.37,24.24,-1.37,24.24,-3.5,3.5,negative,positive,stable,stable,1,False,0,31.42,32.52,33.02,8.020000000000003,30.6,35.05,2.567760342368053,0.8415147265077305,-2.48953752930382,5.057297871671873,3.4236804564907297,1.6830294530154388,-7.071865857008186,10.495546313498917,3.9942938659058624,0.0,7.560627674750364,5.7503506311360475,-10.802223966500545,18.36285164125091,7.845934379457908,0.0,8.273894436519269,6.451612903225823,-0.8324692408073209,9.10636367732659,11.554921540656228,0.0,,,,,,
2026-07-23,5880,合庫金,金融保險,True,True,high_priority_watch,A,strong_bull,62,1.89,5,31.42,44.45,7.508605479446873,87.83,Q1,3.5,2.15,0.5,0.0,25.0,0.27,active,active,2.74,8.48,2.74,-8.48,3.5,-3.5,positive,negative,stable,stable,1,False,0,29.27,30.919999999999998,31.419999999999998,6.419999999999998,31.15,25.25,1.5841584158415856,0.1953124999999778,-2.48953752930382,4.073695945145406,2.7722772277227747,1.3671875,-7.071865857008186,9.84414308473096,2.7722772277227747,0.0,6.930693069306937,5.46875,-10.802223966500545,17.732917035807482,6.930693069306937,0.0,3.3663366336633693,1.953125,-0.8324692408073209,4.19880587447069,9.504950495049492,0.0,,,,,,
2026-07-23,2006,東和鋼鐵,鋼鐵工業,True,True,high_priority_watch,A,strong_bull,62,1.93,5,31.42,34.87,4.596303351587427,79.32,Q2,3.5,12.5,0.5,3.5,5.0,6.42,active,inactive,64.25,,64.25,0.0,3.5,0.0,positive,zero,stable,inactive,1,False,0,18.92,30.92,27.92,26.42,25.0,71.0,1.1267605633802802,0.8426966292134797,-2.48953752930382,3.6162980926841004,2.1126760563380254,1.8258426966291985,-7.071865857008186,9.184541913346212,2.9577464788732355,-0.14084507042252392,3.3802816901408628,3.08988764044944,-10.802223966500545,14.182505656641407,3.5211267605633756,-2.8169014084507005,21.408450704225345,21.067415730337082,-0.8324692408073209,22.240919945032665,21.408450704225345,-2.8169014084507005,,,,,,
