code,name,industry,as_of_date,formal_category,formal_final_score_v1,chip_bonus_v1,v1_rank,v2_rank,v21_rank,capital_flow_score_v2_shadow,capital_flow_score_v21_shadow,capital_flow_v21_delta,foreign_flow_last5,trust_flow_last5,capital_flow_v2_available,capital_flow_v2_unavailable_reason,dealer_flow_detail_level,dealer_hedge_flow_5d,dealer_hedge_flow_5d_shares,dealer_prop_flow_5d,dealer_prop_flow_5d_shares,dealer_unknown_flow_5d,dealer_unknown_flow_5d_shares,flow_identity_score,flow_intensity_score,flow_momentum_score,flow_momentum_score_v21,flow_momentum_score_v2_original,flow_persistence_score,flow_price_confirmation_score,flow_price_quadrant,flow_price_state,flow_relative_score,flow_relative_score_v21,flow_relative_score_v2_original,foreign_active_days_5,foreign_amount_ratio_5d,foreign_consecutive_buy,foreign_flow_10d,foreign_flow_10d_shares,foreign_flow_1d,foreign_flow_1d_shares,foreign_flow_3d,foreign_flow_3d_shares,foreign_flow_5d,foreign_flow_5d_shares,foreign_flow_active_percentile_v21,foreign_flow_activity,foreign_flow_direction,foreign_flow_intensity_active_percentile,foreign_flow_intensity_percentile,foreign_flow_momentum,foreign_flow_percentile,foreign_flow_percentile_v2_original,foreign_flow_ratio_10d,foreign_flow_ratio_1d,foreign_flow_ratio_3d,foreign_flow_ratio_5d,foreign_momentum_component,foreign_positive_days_10,foreign_positive_days_5,foreign_signed_flow_strength,multi_flow_confirmation,return_1d,return_3d,return_5d,rs20,rs20_percentile,rs5,rs60,rs60_percentile,rs_20d,rs_5d,shadow_mode,stock_return20,stock_return5,stock_return60,taiex_return20,taiex_return5,taiex_return60,trust_active_days_5,trust_amount_ratio_5d,trust_consecutive_buy,trust_flow_10d,trust_flow_10d_shares,trust_flow_1d,trust_flow_1d_shares,trust_flow_3d,trust_flow_3d_shares,trust_flow_5d,trust_flow_5d_shares,trust_flow_active_percentile_v21,trust_flow_activity,trust_flow_direction,trust_flow_intensity_active_percentile,trust_flow_intensity_percentile,trust_flow_momentum,trust_flow_percentile,trust_flow_percentile_v2_original,trust_flow_ratio_10d,trust_flow_ratio_1d,trust_flow_ratio_3d,trust_flow_ratio_5d,trust_momentum_component,trust_positive_days_10,trust_positive_days_5,trust_signed_flow_strength
1101,台泥,水泥工業,2026-08-10,high_priority_watch,58,14,14,22,29,71.56,60.83,-10.73,"[-12259096, 1622968, 14353331, 3459974, 3692861]","[0, 4000, 0, -2000, 0]",True,,split,-0.995,-995,-468.0,-468000,0.0,0,9.0,12.5,1.75,1.75,1.75,7.0,25.0,Q1,confirmed_accumulation,5.58,5.58,16.31,5,0.10636090255893692,4,10416.707,10416707,3692.861,3692861,21506.166,21506166,10870.038,10870038,54.31,active,positive,54.31,74.32,decelerating,74.32,74.32,0.03521465757962989,0.2530050013702384,0.35099500587544064,0.10154263935207242,1.75,8,4,54.31,True,0.8213552361396204,2.079002079002068,3.1512605042016695,8.435317143085042,91.4,-0.40365412965590597,-7.609285838318169,54.69,8.435317143085042,-0.40365412965590597,True,7.4398249452954035,3.1512605042016695,0.0,-0.995492197789638,3.5549146338575754,7.609285838318169,2,1.83885209948035e-05,0,178.0,178000,0.0,0,-2.0,-2000,2.0,2000,1.49,active,positive,1.49,88.79,reversing_negative,88.79,88.79,0.0006017457387612152,0.0,-3.264133698916308e-05,1.86830330035778e-05,0.0,6,1,1.49
1102,亞泥,水泥工業,2026-08-10,excluded,0,2,437,462,456,11.5,9.5,-2.0,"[-3217127, 215822, 2175934, 195022, 478689]","[-1915000, 99736, 130000, 121000, -134391]",True,,split,-518.744,-518744,-113.156,-113156,0.0,0,0.0,0.0,2.0,2.0,4.0,7.5,0.0,Q4,confirmed_distribution,0.0,0.0,0.0,5,-0.0030119983937541167,4,9627.457,9627457,478.689,478689,2849.645,2849645,-151.66,-151660,2.61,active,negative,2.61,45.5,reversing_positive,45.5,45.5,0.08733417092264847,0.10285539321014181,0.183304065354432,-0.0044936296296296295,3.0,8,4,-2.61,False,0.3044140030441511,1.0736196319018454,0.7645259938837912,-4.591900352353617,37.68,-2.7903886399737843,-14.001331292863629,34.55,-4.591900352353617,-2.7903886399737843,True,-5.587392550143255,0.7645259938837912,-6.392045454545459,-0.995492197789638,3.5549146338575754,7.609285838318169,5,-0.04982302728397149,0,-3601.06,-3601060,-134.391,-134391,116.609,116609,-1698.655,-1698655,85.64,active,negative,85.64,2.09,neutral,2.09,2.09,-0.03266652757241217,-0.02887645036527718,0.0075009005531969635,-0.05033051851851852,-1.0,7,3,-85.64
1103,嘉泥,水泥工業,2026-08-10,excluded,0,0,468,699,567,5.5,4.5,-1.0,"[-352000, -130452, -96000, 106999, -33836]","[0, 0, 0, 0, 0]",True,,split,0.0,0,-67.0,-67000,0.0,0,0.0,0.0,3.0,3.0,4.0,1.5,0.0,Q4,confirmed_distribution,0.0,0.0,0.0,5,-0.34484368402602983,0,-364.191,-364191,-33.836,-33836,-22.837,-22837,-505.289,-505289,94.39,active,negative,94.39,2.48,reversing_positive,2.48,2.48,-0.07737221159974506,-0.1726326530612245,-0.03683387096774193,-0.34703914835164834,3.0,3,1,-94.39,False,0.3802281368821214,1.538461538461533,0.3802281368821214,-1.587533632468674,50.52,-3.174686496975454,-6.45986055096186,59.06,-1.587533632468674,-3.174686496975454,True,-2.583025830258312,0.3802281368821214,1.1494252873563093,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1104,環泥,水泥工業,2026-08-10,excluded,0,0,469,520,480,7.5,6.5,-1.0,"[-773838, -401906, -31094, 159295, 168850]","[0, 0, 0, 0, 0]",True,,split,0.0,0,-32.815,-32815,0.0,0,0.0,0.0,3.0,3.0,4.0,3.5,0.0,Q4,confirmed_distribution,0.0,0.0,0.0,5,-0.30158653257132734,2,-155.741,-155741,168.85,168850,297.051,297051,-878.693,-878693,91.64,active,negative,91.64,3.91,reversing_positive,3.91,3.91,-0.020762698306892414,0.30098039215686273,0.22503863636363636,-0.303102104173853,3.0,5,2,-91.64,False,0.1879699248120259,0.9469696969697017,-0.9293680297397744,-0.6650244073764244,56.98,-4.48428266359735,-12.089572576669427,38.92,-0.6650244073764244,-4.48428266359735,True,-1.6605166051660625,-0.9293680297397744,-4.480286738351258,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,5.0,5000,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0006665777896280496,0.0,0.0,0.0,0.0,2,0,0.0
1108,幸福,水泥工業,2026-08-10,excluded,0,5,151,282,287,36.82,32.79,-4.03,"[-33000, 2000, -75000, 86351, 99000]","[0, 0, 0, 0, 0]",True,,split,0.0,0,-27.0,-27000,0.0,0,3.5,12.5,5.0,5.0,6.0,3.5,5.0,Q2,unconfirmed_accumulation,3.29,3.29,6.32,5,0.05957855721009181,2,388.451,388451,99.0,99000,110.351,110351,79.351,79351,32.9,active,positive,32.9,63.23,accelerating,63.23,63.23,0.13061566913248152,0.2804532577903683,0.11146565656565656,0.05908488458674609,5.0,7,3,32.9,False,0.0,1.2552301255230214,0.0,-10.359819157521722,20.47,-3.5549146338575754,-20.870934583837887,20.6,-10.359819157521722,-3.5549146338575754,True,-11.35531135531136,0.0,-13.261648745519716,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1109,信大,水泥工業,2026-08-10,excluded,0,0,470,559,642,7.0,0.0,-7.0,"[-62469, -16411, -29000, 29000, -52000]","[0, 0, 0, 0, 0]",True,,split,0.0,0,-38.448,-38448,0.0,0,0.0,0.0,-3.5,-3.5,4.5,2.5,0.0,Q4,confirmed_distribution,0.0,0.0,0.0,5,-0.2149767491067812,0,6.12,6120,-52.0,-52000,-52.0,-52000,-130.88,-130880,81.72,active,negative,81.72,7.56,stable,7.56,7.56,0.004523281596452328,-0.5591397849462365,-0.17105263157894737,-0.21455737704918032,-3.5,5,1,-81.72,False,0.37037037037037646,0.0,-1.0948905109488982,-6.513040225418553,31.55,-4.649805144806473,-18.464548996212894,25.29,-6.513040225418553,-4.649805144806473,True,-7.508532423208192,-1.0948905109488982,-10.855263157894724,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1110,東泥,水泥工業,2026-08-10,excluded,0,0,471,521,481,7.5,6.5,-1.0,"[-52000, -84000, -160000, 65000, 168449]","[0, 0, 0, 0, 0]",True,,split,0.0,0,-25.0,-25000,0.0,0,0.0,0.0,3.0,3.0,4.0,3.5,0.0,Q3,absorption_divergence,0.0,0.0,0.0,5,-0.03714589193552331,2,539.449,539449,168.449,168449,73.449,73449,-62.551,-62551,24.15,active,negative,24.15,34.16,reversing_positive,34.16,34.16,0.15745738470519557,0.35166805845511484,0.0717275390625,-0.04080300065231572,3.0,7,2,-24.15,False,2.515723270440251,2.515723270440251,1.8750000000000044,4.817148248745051,85.01,-1.679914633857571,5.5851586061262735,82.79,4.817148248745051,-1.679914633857571,True,3.821656050955413,1.8750000000000044,13.194444444444443,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1201,味全,食品工業,2026-08-10,excluded,0,0,472,667,643,6.0,0.0,-6.0,"[-110000, -173000, -369000, -8000, -100630]","[0, 0, 0, 0, 0]",True,,split,0.0,0,-86.0,-86000,0.0,0,0.0,0.0,-3.5,-3.5,4.5,1.5,0.0,Q4,confirmed_distribution,0.0,0.0,0.0,5,-0.4351912696773029,0,-195.096,-195096,-100.63,-100630,-477.63,-477630,-760.63,-760630,97.52,active,negative,97.52,1.17,stable,1.17,1.17,-0.04414935505770536,-0.40413654618473893,-0.44596638655462184,-0.43589111747851,-3.5,3,0,-97.52,False,0.4132231404958775,0.8298755186721962,-0.4098360655737654,-2.1917587982262954,46.68,-3.964750699431341,-7.609285838318169,54.69,-2.1917587982262954,-3.964750699431341,True,-3.1872509960159334,-0.4098360655737654,0.0,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1203,味王,食品工業,2026-08-10,excluded,0,5,152,209,197,39.45,37.42,-2.03,"[21000, 5000, 1000, -3000, 5000]","[0, 0, 0, 0, 0]",True,,split,0.0,0,-16.0,-16000,0.0,0,3.5,12.5,5.0,5.0,6.0,4.0,5.0,Q2,unconfirmed_accumulation,7.42,7.42,8.45,5,0.175028767976055,1,131.2,131200,5.0,5000,3.0,3000,29.0,29000,74.15,active,positive,74.15,84.49,accelerating,84.49,84.49,0.2705154639175258,0.23809523809523808,0.05263157894736842,0.1746987951807229,5.0,8,4,74.15,False,-3.147953830010497,-3.451882845188281,-4.550155118924515,8.696775745047514,91.79,-8.10506975278209,0.59704475957163,74.97,8.696775745047514,-8.10506975278209,True,7.701283547257876,-4.550155118924515,8.2063305978898,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1216,統一,食品工業,2026-08-10,other_watch,59,7,45,171,235,42.71,35.68,-7.03,"[17235518, 2717656, 9684719, 20335509, 4997136]","[-1643000, -64000, -958000, -97000, -85000]",True,,split,-880.93,-880930,-350.074,-350074,0.0,0,3.5,12.5,-1.75,-1.75,5.25,6.5,5.0,Q2,unconfirmed_accumulation,9.93,9.93,9.96,5,0.5298088846609639,10,99599.291,99599291,4997.136,4997136,35017.364,35017364,54970.538,54970538,99.35,active,positive,99.35,99.61,decelerating,99.61,99.61,0.4316534742717963,0.46868655036578505,0.5768448068528128,0.5277813430113102,1.75,10,5,99.35,False,-0.26420079260238705,3.1420765027322384,3.424657534246567,-2.826163853165775,44.33,-0.13025709961100862,-6.673456961312807,58.15,-2.826163853165775,-0.13025709961100862,True,-3.821656050955413,3.424657534246567,0.9358288770053624,-0.995492197789638,3.5549146338575754,7.609285838318169,5,-0.027134772114018168,0,-819.841,-819841,-85.0,-85000,-1140.0,-1140000,-2847.0,-2847000,75.74,active,negative,75.74,3.65,stable,3.65,3.65,-0.0035531097907159173,-0.007972237854061152,-0.018779342723004695,-0.02733452387810358,-3.5,3,0,-75.74
