code,name,industry,as_of_date,formal_category,formal_final_score,chip_bonus_v1,v1_rank,v2_rank,rank_change,v1_percentile,v2_percentile,foreign_5d_v1,trust_5d_v1,dealer_5d_v1,institution_5d_total_v1,foreign_consecutive_v1,trust_consecutive_v1,chip_tier_v1,shadow_mode,capital_flow_v2_available,foreign_flow_1d,foreign_flow_3d,foreign_flow_5d,foreign_flow_10d,foreign_flow_1d_shares,foreign_flow_3d_shares,foreign_flow_5d_shares,foreign_flow_10d_shares,trust_flow_1d,trust_flow_3d,trust_flow_5d,trust_flow_10d,trust_flow_1d_shares,trust_flow_3d_shares,trust_flow_5d_shares,trust_flow_10d_shares,foreign_flow_ratio_1d,foreign_flow_ratio_3d,foreign_flow_ratio_5d,foreign_flow_ratio_10d,trust_flow_ratio_1d,trust_flow_ratio_3d,trust_flow_ratio_5d,trust_flow_ratio_10d,foreign_amount_ratio_5d,trust_amount_ratio_5d,foreign_positive_days_5,foreign_positive_days_10,trust_positive_days_5,trust_positive_days_10,foreign_consecutive_buy,trust_consecutive_buy,foreign_flow_momentum,trust_flow_momentum,return_1d,return_3d,return_5d,stock_return20,stock_return60,taiex_return20,taiex_return60,rs5,rs20,rs60,rs20_percentile,rs60_percentile,foreign_flow_intensity_percentile,trust_flow_intensity_percentile,foreign_flow_percentile,trust_flow_percentile,multi_flow_confirmation,dealer_prop_flow_5d_shares,dealer_hedge_flow_5d_shares,dealer_unknown_flow_5d_shares,dealer_flow_detail_level,flow_price_quadrant,flow_price_state,flow_identity_score,flow_intensity_score,flow_persistence_score,flow_momentum_score,flow_price_confirmation_score,flow_relative_score,capital_flow_score_v2_shadow,current_research_rank,shadow_rank_v2,shadow_rank_change,case,movement_reason
1101,台泥,水泥工業,2026-08-10,high_priority_watch,58,14,14,22,-8,97.78357235984355,97.26205997392438,10867,2,-467,10402,4,0,外資鎖碼,True,True,3692.861,21506.166,10870.038,10416.707,3692861,21506166,10870038,10416707,0.0,-2.0,2.0,178.0,0,-2000,2000,178000,0.2530050013702384,0.35099500587544064,0.10154263935207242,0.03521465757962989,0.0,-3.264133698916308e-05,1.86830330035778e-05,0.0006017457387612152,0.10636090255893692,1.83885209948035e-05,4,8,1,6,4,0,decelerating,reversing_negative,0.8213552361396204,2.079002079002068,3.1512605042016695,7.4398249452954035,0.0,-0.995492197789638,7.609285838318169,-0.40365412965590597,8.435317143085042,-7.609285838318169,91.4,54.69,74.32,88.79,74.32,88.79,True,-468000,-995,0,split,Q1,confirmed_accumulation,9.0,12.5,7.0,1.75,25.0,16.31,71.56,27.0,8.0,19.0,B_V1_strong_V2_weak,V1連買訊號高（外資4日／投信0日）；近期flow已轉負
1102,亞泥,水泥工業,2026-08-10,excluded,0,2,437,462,-25,41.19947848761408,39.70013037809648,-154,-1699,-630,-2483,4,0,外資鎖碼,True,True,478.689,2849.645,-151.66,9627.457,478689,2849645,-151660,9627457,-134.391,116.609,-1698.655,-3601.06,-134391,116609,-1698655,-3601060,0.10285539321014181,0.183304065354432,-0.0044936296296296295,0.08733417092264847,-0.02887645036527718,0.0075009005531969635,-0.05033051851851852,-0.03266652757241217,-0.0030119983937541167,-0.04982302728397149,4,8,3,7,4,0,reversing_positive,neutral,0.3044140030441511,1.0736196319018454,0.7645259938837912,-5.587392550143255,-6.392045454545459,-0.995492197789638,7.609285838318169,-2.7903886399737843,-4.591900352353617,-14.001331292863629,37.68,34.55,45.5,2.09,45.5,2.09,False,-113156,-518744,0,split,Q4,confirmed_distribution,0.0,0.0,7.5,4.0,0.0,0.0,11.5,,,,,V1連買訊號高（外資4日／投信0日）；實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P46、投信P2）；價格未確認（Q4、RS20 -4.59）
1103,嘉泥,水泥工業,2026-08-10,excluded,0,0,468,699,-231,19.621903520208605,7.496740547588006,-505,0,-67,-572,0,0,主力佈局,True,True,-33.836,-22.837,-505.289,-364.191,-33836,-22837,-505289,-364191,0.0,0.0,0.0,0.0,0,0,0,0,-0.1726326530612245,-0.03683387096774193,-0.34703914835164834,-0.07737221159974506,0.0,0.0,0.0,0.0,-0.34484368402602983,0.0,1,3,0,0,0,0,reversing_positive,neutral,0.3802281368821214,1.538461538461533,0.3802281368821214,-2.583025830258312,1.1494252873563093,-0.995492197789638,7.609285838318169,-3.174686496975454,-1.587533632468674,-6.45986055096186,50.52,59.06,2.48,51.76,2.48,51.76,False,-67000,0,0,split,Q4,confirmed_distribution,0.0,0.0,1.5,4.0,0.0,0.0,5.5,,,,D_V1_weak_V2_weak,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P2、投信P52）；價格未確認（Q4、RS20 -1.59）
1104,環泥,水泥工業,2026-08-10,excluded,0,0,469,520,-51,19.621903520208605,29.85658409387223,-878,0,-35,-913,2,0,外資鎖碼,True,True,168.85,297.051,-878.693,-155.741,168850,297051,-878693,-155741,0.0,0.0,0.0,5.0,0,0,0,5000,0.30098039215686273,0.22503863636363636,-0.303102104173853,-0.020762698306892414,0.0,0.0,0.0,0.0006665777896280496,-0.30158653257132734,0.0,2,5,0,2,2,0,reversing_positive,neutral,0.1879699248120259,0.9469696969697017,-0.9293680297397744,-1.6605166051660625,-4.480286738351258,-0.995492197789638,7.609285838318169,-4.48428266359735,-0.6650244073764244,-12.089572576669427,56.98,38.92,3.91,51.76,3.91,51.76,False,-32815,0,0,split,Q4,confirmed_distribution,0.0,0.0,3.5,4.0,0.0,0.0,7.5,,,,,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P4、投信P52）；價格未確認（Q4、RS20 -0.67）
1108,幸福,水泥工業,2026-08-10,excluded,0,5,151,282,-131,64.27640156453715,63.363754889178615,79,0,-27,52,2,0,外資鎖碼,True,True,99.0,110.351,79.351,388.451,99000,110351,79351,388451,0.0,0.0,0.0,0.0,0,0,0,0,0.2804532577903683,0.11146565656565656,0.05908488458674609,0.13061566913248152,0.0,0.0,0.0,0.0,0.05957855721009181,0.0,3,7,0,0,2,0,accelerating,neutral,0.0,1.2552301255230214,0.0,-11.35531135531136,-13.261648745519716,-0.995492197789638,7.609285838318169,-3.5549146338575754,-10.359819157521722,-20.870934583837887,20.47,20.6,63.23,51.76,63.23,51.76,False,-27000,0,0,split,Q2,unconfirmed_accumulation,3.5,12.5,3.5,6.0,5.0,6.32,36.82,,,,,全市場flow percentile偏低（外資P63、投信P52）；價格未確認（Q2、RS20 -10.36）
1109,信大,水泥工業,2026-08-10,excluded,0,0,470,559,-89,19.621903520208605,23.598435462842243,-130,0,-37,-167,0,0,主力佈局,True,True,-52.0,-52.0,-130.88,6.12,-52000,-52000,-130880,6120,0.0,0.0,0.0,0.0,0,0,0,0,-0.5591397849462365,-0.17105263157894737,-0.21455737704918032,0.004523281596452328,0.0,0.0,0.0,0.0,-0.2149767491067812,0.0,1,5,0,0,0,0,stable,neutral,0.37037037037037646,0.0,-1.0948905109488982,-7.508532423208192,-10.855263157894724,-0.995492197789638,7.609285838318169,-4.649805144806473,-6.513040225418553,-18.464548996212894,31.55,25.29,7.56,51.76,7.56,51.76,False,-38448,0,0,split,Q4,confirmed_distribution,0.0,0.0,2.5,4.5,0.0,0.0,7.0,,,,D_V1_weak_V2_weak,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P8、投信P52）；價格未確認（Q4、RS20 -6.51）
1110,東泥,水泥工業,2026-08-10,excluded,0,0,471,521,-50,19.621903520208605,29.85658409387223,-63,0,-25,-88,2,0,外資鎖碼,True,True,168.449,73.449,-62.551,539.449,168449,73449,-62551,539449,0.0,0.0,0.0,0.0,0,0,0,0,0.35166805845511484,0.0717275390625,-0.04080300065231572,0.15745738470519557,0.0,0.0,0.0,0.0,-0.03714589193552331,0.0,2,7,0,0,2,0,reversing_positive,neutral,2.515723270440251,2.515723270440251,1.8750000000000044,3.821656050955413,13.194444444444443,-0.995492197789638,7.609285838318169,-1.679914633857571,4.817148248745051,5.5851586061262735,85.01,82.79,34.16,51.76,34.16,51.76,False,-25000,0,0,split,Q3,absorption_divergence,0.0,0.0,3.5,4.0,0.0,0.0,7.5,,,,,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P34、投信P52）
1201,味全,食品工業,2026-08-10,excluded,0,0,472,667,-195,19.621903520208605,11.147327249022164,-760,0,-86,-846,0,0,主力佈局,True,True,-100.63,-477.63,-760.63,-195.096,-100630,-477630,-760630,-195096,0.0,0.0,0.0,0.0,0,0,0,0,-0.40413654618473893,-0.44596638655462184,-0.43589111747851,-0.04414935505770536,0.0,0.0,0.0,0.0,-0.4351912696773029,0.0,0,3,0,0,0,0,stable,neutral,0.4132231404958775,0.8298755186721962,-0.4098360655737654,-3.1872509960159334,0.0,-0.995492197789638,7.609285838318169,-3.964750699431341,-2.1917587982262954,-7.609285838318169,46.68,54.69,1.17,51.76,1.17,51.76,False,-86000,0,0,split,Q4,confirmed_distribution,0.0,0.0,1.5,4.5,0.0,0.0,6.0,,,,D_V1_weak_V2_weak,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P1、投信P52）；價格未確認（Q4、RS20 -2.19）
1203,味王,食品工業,2026-08-10,excluded,0,5,152,209,-57,64.27640156453715,72.81616688396349,29,0,-16,13,1,0,外資鎖碼,True,True,5.0,3.0,29.0,131.2,5000,3000,29000,131200,0.0,0.0,0.0,0.0,0,0,0,0,0.23809523809523808,0.05263157894736842,0.1746987951807229,0.2705154639175258,0.0,0.0,0.0,0.0,0.175028767976055,0.0,4,8,0,0,1,0,accelerating,neutral,-3.147953830010497,-3.451882845188281,-4.550155118924515,7.701283547257876,8.2063305978898,-0.995492197789638,7.609285838318169,-8.10506975278209,8.696775745047514,0.59704475957163,91.79,74.97,84.49,51.76,84.49,51.76,False,-16000,0,0,split,Q2,unconfirmed_accumulation,3.5,12.5,4.0,6.0,5.0,8.45,39.45,,,,,價格未確認（Q2、RS20 +8.70）
1216,統一,食品工業,2026-08-10,other_watch,59,7,45,171,-126,88.33116036505866,77.83572359843546,54968,-2847,-1228,50893,10,0,外資鎖碼,True,True,4997.136,35017.364,54970.538,99599.291,4997136,35017364,54970538,99599291,-85.0,-1140.0,-2847.0,-819.841,-85000,-1140000,-2847000,-819841,0.46868655036578505,0.5768448068528128,0.5277813430113102,0.4316534742717963,-0.007972237854061152,-0.018779342723004695,-0.02733452387810358,-0.0035531097907159173,0.5298088846609639,-0.027134772114018168,5,10,0,3,10,0,decelerating,stable,-0.26420079260238705,3.1420765027322384,3.424657534246567,-3.821656050955413,0.9358288770053624,-0.995492197789638,7.609285838318169,-0.13025709961100862,-2.826163853165775,-6.673456961312807,44.33,58.15,99.61,3.65,99.61,3.65,False,-350074,-880930,0,split,Q2,unconfirmed_accumulation,3.5,12.5,6.5,5.25,5.0,9.96,42.71,,,,,V1連買訊號高（外資10日／投信0日）；價格未確認（Q2、RS20 -2.83）；近期flow正在減速
