code,name,eligible_common_stock,old_category,new_category,old_final_score,new_final_score,category_changed,final_score_changed,chip_bonus_v1,capital_flow_score_v2_shadow,v1_rank,v2_rank,rank_change,v1_percentile,v2_percentile,case,movement_reason,flow_price_quadrant,foreign_flow_ratio_5d,trust_flow_ratio_5d,foreign_flow_percentile,trust_flow_percentile,rs20,rs20_percentile,flow_identity_score,flow_intensity_score,flow_persistence_score,flow_momentum_score,flow_price_confirmation_score,flow_relative_score,current_research_rank,shadow_rank_v2,shadow_rank_change
00401A,主動摩根台灣鑫收,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
0050,元大台灣50,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
0051,元大中型100,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
0052,富邦科技,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
0053,元大電子,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
0055,元大MSCI金融,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
0056,元大高股息,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
0057,富邦摩台,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
0061,元大寶滬深,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
006205,富邦上証,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
006206,元大上證50,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00632R,元大台灣50反1,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00634R,富邦上証反1,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00635U,期元大S&P黃金,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00636,國泰中國A50,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00643,群益深証中小,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00645,富邦日本,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00646,元大S&P500,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00647L,元大S&P500正2,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00650L,復華香港正2,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00651R,復華香港反1,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00652,富邦印度,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00653L,富邦印度正2,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00655L,國泰中國A50正2,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00664R,國泰臺灣加權反1,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00665L,富邦恒生國企正2,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00668,國泰美國道瓊,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00671R,富邦NASDAQ反1,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00673R,期元大S&P原油反1,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00674R,期元大S&P黃金反1,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00676R,富邦臺灣加權反1,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00678,群益那斯達克生技,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00679B,元大美債20年,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00680L,元大美債20正2,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00681R,元大美債20反1,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00686R,群益臺灣加權反1,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00687B,國泰20年美債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00688L,國泰20年美債正2,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00689R,國泰20年美債反1,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00694B,富邦美債1-3,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00695B,富邦美債7-10,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00696B,富邦美債20年,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00697B,元大美債7-10,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00700,富邦恒生國企,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00708L,期元大S&P黃金正2,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00709,富邦歐洲,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00710B,復華彭博非投等債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00712,復華富時不動產,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00714,群益道瓊美國地產,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00717,富邦美國特別股,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00719B,元大美債1-3,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00720B,元大投資級公司債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00722B,群益投資級電信債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00724B,群益投資級金融債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00725B,國泰投資級公司債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00726B,國泰新興投等債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00737,國泰AI機器人,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00738U,期元大道瓊白銀,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00740B,富邦全球投等債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00741B,富邦全球非投等債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00746B,富邦A級公司債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00751B,元大AAA至A公司債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00752,中信中國50,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00753L,中信中國50正2,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00756B,群益投等新興公債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00757,統一FANG+,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00761B,國泰A級公司債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00764B,群益25年美債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00768B,復華20年美債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00772B,中信高評級公司債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00773B,中信優先金融債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00780B,國泰A級金融債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00789B,復華公司債A3,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00795B,中信美國公債20年,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00799B,國泰A級醫療債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00844B,台新15年IG金融債,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00849B,中信EM主權債0-5,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00851,台新全球AI,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
00853B,統一美債10年Aa-A,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
